idx,kind,stage,block,role,params,shape,apb,name
115,Linear,2,14,attn_qkv,443520,"(1152, 384)",APB_TARGET,layers.2.blocks.14.attn.qkv
116,Linear,2,14,attn_proj,147840,"(384, 384)",APB_TARGET,layers.2.blocks.14.attn.proj
117,LayerNorm,2,14,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.14.norm2
118,Linear,2,14,mlp_fc1,591360,"(1536, 384)",APB_TARGET,layers.2.blocks.14.mlp.fc1
119,Linear,2,14,mlp_fc2,590208,"(384, 1536)",APB_TARGET,layers.2.blocks.14.mlp.fc2
120,LayerNorm,2,15,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.15.norm1
121,Linear,2,15,attn_qkv,443520,"(1152, 384)",APB_TARGET,layers.2.blocks.15.attn.qkv
122,Linear,2,15,attn_proj,147840,"(384, 384)",APB_TARGET,layers.2.blocks.15.attn.proj
123,LayerNorm,2,15,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.15.norm2
124,Linear,2,15,mlp_fc1,591360,"(1536, 384)",APB_TARGET,layers.2.blocks.15.mlp.fc1
125,Linear,2,15,mlp_fc2,590208,"(384, 1536)",APB_TARGET,layers.2.blocks.15.mlp.fc2
126,LayerNorm,2,16,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.16.norm1
127,Linear,2,16,attn_qkv,443520,"(1152, 384)",APB_TARGET,layers.2.blocks.16.attn.qkv
128,Linear,2,16,attn_proj,147840,"(384, 384)",APB_TARGET,layers.2.blocks.16.attn.proj
129,LayerNorm,2,16,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.16.norm2
130,Linear,2,16,mlp_fc1,591360,"(1536, 384)",APB_TARGET,layers.2.blocks.16.mlp.fc1
131,Linear,2,16,mlp_fc2,590208,"(384, 1536)",APB_TARGET,layers.2.blocks.16.mlp.fc2
132,LayerNorm,2,17,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.17.norm1
133,Linear,2,17,attn_qkv,443520,"(1152, 384)",APB_TARGET,layers.2.blocks.17.attn.qkv
134,Linear,2,17,attn_proj,147840,"(384, 384)",APB_TARGET,layers.2.blocks.17.attn.proj
135,LayerNorm,2,17,norm,768,"(384,)",SKIP_NON_LINEAR,layers.2.blocks.17.norm2
136,Linear,2,17,mlp_fc1,591360,"(1536, 384)",APB_TARGET,layers.2.blocks.17.mlp.fc1
137,Linear,2,17,mlp_fc2,590208,"(384, 1536)",APB_TARGET,layers.2.blocks.17.mlp.fc2
138,LayerNorm,3,-1,norm,3072,"(1536,)",SKIP_NON_LINEAR,layers.3.downsample.norm
139,Linear,3,-1,downsample,1179648,"(768, 1536)",SKIP_BY_RULE,layers.3.downsample.reduction
140,LayerNorm,3,0,norm,1536,"(768,)",SKIP_NON_LINEAR,layers.3.blocks.0.norm1
141,Linear,3,0,attn_qkv,1771776,"(2304, 768)",APB_TARGET,layers.3.blocks.0.attn.qkv
142,Linear,3,0,attn_proj,590592,"(768, 768)",APB_TARGET,layers.3.blocks.0.attn.proj
143,LayerNorm,3,0,norm,1536,"(768,)",SKIP_NON_LINEAR,layers.3.blocks.0.norm2
144,Linear,3,0,mlp_fc1,2362368,"(3072, 768)",APB_TARGET,layers.3.blocks.0.mlp.fc1
145,Linear,3,0,mlp_fc2,2360064,"(768, 3072)",APB_TARGET,layers.3.blocks.0.mlp.fc2
146,LayerNorm,3,1,norm,1536,"(768,)",SKIP_NON_LINEAR,layers.3.blocks.1.norm1
147,Linear,3,1,attn_qkv,1771776,"(2304, 768)",APB_TARGET,layers.3.blocks.1.attn.qkv
148,Linear,3,1,attn_proj,590592,"(768, 768)",APB_TARGET,layers.3.blocks.1.attn.proj
149,LayerNorm,3,1,norm,1536,"(768,)",SKIP_NON_LINEAR,layers.3.blocks.1.norm2
150,Linear,3,1,mlp_fc1,2362368,"(3072, 768)",APB_TARGET,layers.3.blocks.1.mlp.fc1
151,Linear,3,1,mlp_fc2,2360064,"(768, 3072)",APB_TARGET,layers.3.blocks.1.mlp.fc2
152,LayerNorm,-1,-1,last,1536,"(768,)",SKIP_NON_LINEAR,norm
153,Linear,-1,-1,last,769000,"(1000, 768)",SKIP_BY_RULE,head.fc
